120,mywebsearch.com,Социальные сети,20,800
121,infoseek.co.jp,Интернет-порталы,19,410
122,zynga.com,Онлайн игры,19,3 000.0
123,depositfiles.com,Хранилище файлов и хостинг,19,280
124,metacafe.com,Хранилище видео файлов,19,410
125,chase.com,Финансовые услуги,19,2 100.0
126,thepiratebay.org,Хранилище файлов и хостинг,19,720
127,kakaku.com,Онлайн магазины,19,720
128,cctv.com,Телевизионные сети,19,170
129,optmd.com,Социальные сети,19,89
130,hotfile.com,Хранилище файлов и хостинг,19,280
131,com.com,Новости технологий,19,81
132,ning.com,Социальные сети,19,600
133,ocn.ne.jp,Интернет-провайдер,18,250
134,vk.com,Поисковые сервера,18,960
135,game2.com.cn,Порно,18,88
136,youdao.com,Хранилище фото и видео файлов,18,97
137,getpersonas.com,Браузеры,18,330
138,tripadvisor.com,Отели,18,410
139,nate.com,Интернет-порталы,18,1 700.0
140,livejournal.com,Блоги,18,1 000.0
141,soufun.com,Недвижимость,18,250
142,zedo.com,Электронная коммерция,18,130
143,browserchoice.eu,Браузеры,18,81
144,thefreedictionary.com,Справочники и энциклопедии,17,130
145,2ch.net,Коммуникационный портал,17,590
146,tinypic.com,Хранилище фото и видео файлов,17,190
147,java.com,Программное обеспечение (Java),17,120
148,narod.ru,Блоги,17,210
149,xici.net,Онлайн коммуникации,17,73
150,walmart.com,Продуктовые магазины,17,720
151,114la.com,Интернет-каталоги,17,170
152,joy.cn,Кино (фильмы),17,130
153,addthis.com,Программное обеспечение (Java),17,89
154,globo.com,Новости,17,2 700.0
155,360.cn,-,16,160
156,cocolog-nifty.com,Интернет-сервисы,16,160
157,netflix.com,Кино (фильмы),16,1 200.0
158,target.com,Интернет магазины,16,450
159,58.com,Онлайн объявления,16,190
160,cyworld.com,Интернет-порталы,16,1 200.0
161,unionsky.cn,Интернет-магазины,16,97
162,tom.com,Интернет-порталы,16,310
163,amazon.de,Книжные магазины,16,970
164,netlog.com,Социальные сети,16,1 900.0
165,amazon.co.uk,Книжные магазины,16,790
166,reference.com,Справочники и энциклопедии,16,250
167,douban.com,Социальные сети,16,300
168,eastmoney.com,Финансы и страхование,16,370
169,livedoor.com,Интернет-порталы,16,410
170,hexun.com,Инвестирование,16,140
171,liveperson.net,Интернет-магазин одежды,16,120
172,7k7k.com,Онлайн игры,16,600
173,miniclip.com,Онлайн игры,16,450
174,so-net.ne.jp,Интернет-провайдер,16,170
175,39.net,Здоровье,16,120
176,nih.gov,Медицинские справочники,15,300
177,sakura.ne.jp,Web-хостинг,15,250
178,rambler.ru,Интернет-порталы,15,1 400.0
179,reuters.com,Новости,15,190
180,kugou.com,Кино (фильмы),15,88
181,mixi.jp,Социальные сети,15,3 000.0
182,terra.com.br,Музыкальные файлы и тексты,15,1 400.0
183,tripod.com,Web-хостинг,15,89
184,mcafee.com,Антивирусные программы,14,140
185,att.com,Сервис-провайдеры,14,720
186,weather.com.cn,Погода,14,80
187,tagged.com,Социальные сети,14,4 100.0
188,atpanel.com,Онлайн магазины,14,66
189,2345.com,Отели,14,410
190,zing.vn,-,14,1 300.0
191,exblog.jp,Блоги,14,190
192,chinamobile.com,Сервис-провайдеры,14,210
193,expedia.com,Онлайн бронирование отелей,14,500
194,ameba.jp,Блоги,14,1 200.0
195,tinyurl.com,Интернет-сервисы,14,74
196,chinanews.com.cn,Новости,13,130
197,1stwebgame.com,-,13,51
198,commentcamarche.net,Компьютеры и электроника,13,210
199,allabout.co.jp,Кулинарные рецепты,13,97
200,taringa.net,Развлекательный ресурс,13,450
201,nicovideo.jp,Хранилище видео файлов,13,1 300.0
202,domaintools.com,Web-хостинг,13,81
203,jugem.jp,Блоги,13,110
204,excite.co.jp,Интернет-порталы,13,210
205,autohome.com.cn,Автомобильный портал,13,410
206,typepad.com,Блоги,13,140
207,ezinearticles.com,Справочники и энциклопедии,13,120
208,shopping.com,Интернет-магазины обуви,13,88
209,deviantart.com,Изобразительное искусство,13,880
210,gstatic.com,-,13,97
211,,Онлайн магазины,13,140
212,ikea.com,Производство товаров для дома,13,720
213,yomiuri.co.jp,Газеты,13,260
214,maktoob.com,Интернет-порталы,13,410
215,web.de,Развлекательный ресурс,13,2 100.0
216,informharry.com,-,13,96
217,alimama.com,Реклама и маркетинг,13,120
218,ynet.com,Олимпиады и конкурсы,13,260
219,softpedia.com,Программное обеспечение,13,89
220,china.com,Интернет-порталы,13,230
221,6.cn,Хранилище видео файлов,13,67
222,5599.net,Социальные сети,13,490
223,cntv.cn,Телевизионные сети,13,110
224,booking.com,Интернет-бронирование,13,330
225,orange.fr,Сервис-провайдеры,13,5 400.0
226,advmaker.ru,Рекламная сеть,13,190
227,verycd.com,Хранилище файлов и хостинг,13,190
228,multiply.com,Блоги,13,230
229,comcast.net,Онлайн игры,13,3 000.0
230,ioage.com,Компьютеры и электроника,12,81
231,skycn.com,Кулинарные рецепты,12,61
232,libero.it,Интернет-порталы,12,1 900.0
233,onet.pl,Интернет-порталы,12,3 300.0
234,rediff.com,Интернет-порталы,12,960
235,americanexpress.com,Кредитные карты,12,370
236,dailymail.co.uk,Газеты,12,260
237,alot.com,Интернет-магазины,12,300
238,nasza-klasa.pl,Социальные сети,12,7 100.0
239,pchome.net,Компьютеры и электроника,12,96
240,51job.com,Job-сайты,12,230
241,okwave.jp,Форумы и чаты,12,41
242,70yx.com,Онлайн игры,12,46
243,rakuten.ne.jp,Онлайн магазины,12,120
244,nikkeibp.co.jp,Новости,12,160
245,mlb.com,-,12,450
246,huffingtonpost.com,Либеральные сайты и организации,12,370
247,bestbuy.com,Бытовая электроника,12,380
248,freelotto.com,Лото и лотерея,12,67
249,yahoo.net,Интернет и журналы,12,370
250,docstoc.com,-,12,50
251,csdn.net,Программное обеспечение,12,98
252,digg.com,Новости,12,190
253,macromedia.com,Аудио и мультимедиа,12,41
254,tumblr.com,-,12,450
255,twitpic.com,Аудио и мультимедиа,12,190
256,impress.co.jp,Новости технологий,12,160
257,foxsports.com,Спортивные новости,12,490
258,wikia.com,Справочники и энциклопедии,11,370
259,t-online.de,Сервис-провайдеры,11,720
260,verizonwireless.com,Поставщики телефонной связи,11,650
261,justin.tv,Мультимедиа,11,790
262,ups.com,Курьерские службы,11,280
263,wp.pl,Интернет-порталы,11,2 300.0
264,docin.com,Реклама и маркетинг,11,50
265,pdfqueen.com,Подготовка к тестированию,11,73
266,dangdang.com,Книжные магазины,11,160
267,focus.cn,Справочники и энциклопедии,11,74
268,nextag.com,Статистика (сравнение цен),11,120
269,ziddu.com,Хранилище файлов и хостинг,11,88
270,hubpages.com,Информационный ресурс,11,97
271,kioskea.net,Операционные системы,11,89
272,babylon.com,Онлайн переводчики,11,190
273,last.fm,Музыка,11,170
274,wellsfargo.com,Финансовые услуги,11,1 300.0
275,gmx.net,Социальные сети,11,1 000.0
276,friendster.com,Социальные сети,11,970
277,wsj.com,Газеты,11,170
278,slideshare.net,Хранилище фото и видео файлов,11,66
279,foxnews.com,Новости,11,590
280,ganji.com,Онлайн объявления,11,160
281,iza.ne.jp,Новости,11,89
282,51.com,Социальные сети,11,400
283,metrolyrics.com,Музыкальные файлы и тексты,11,73
284,yesky.com,Компьютеры и электроника,11,61
285,usps.com,Курьерские службы,11,300
286,alisoft.com,Реклама и маркетинг,11,110
287,mainichi.jp,Газеты,11,74
288,irs.gov,Налоговое управление США,11,340
289,bigpoint.com,Онлайн игры,11,530
290,china.com.cn,Информационный ресурс,11,45
291,iciba.com,Онлайн переводчики,11,96
292,hulu.com,Хранилище видео файлов,10,490
293,gmarket.co.kr,Онлайн магазины,10,370
294,tabelog.com,Рестораны,10,170
295,gamespot.com,Видео игры,10,150
296,symantec.com,Антивирусные программы,10,130
297,nokia.com,Мобильные телефоны,10,160
298,pcpop.com,Электроника,10,89
299,dion.ne.jp,Интернет-провайдер,10,67
300,torrentz.com,Хранилище файлов и хостинг,10,270
301,pptv.com,Кино (фильмы),10,140
302,telegraph.co.uk,Газеты,10,160
303,duowan.com,Онлайн игры,10,170
304,joins.com,-,10,140
305,wordreference.com,Онлайн переводчики,10,250
306,peeplo.com,Поисковые сервера,10,50
307,ign.com,Видео игры,10,190
308,huanqiu.com,Новости,10,140
309,aweber.com,Коммуникационный портал,10,130
310,guardian.co.uk,Газеты,10,160
311,samsung.com,Аудио и видео техника,10,130
312,skyrock.com,Радио,10,2 100.0
313,sun.com,Программное обеспечение (Java),10,73
314,the2009.cn,-,10,45
315,musica.com,Музыкальные файлы и тексты,9.9,230
316,icq.com,"Форумы, чаты и мгновенные сообщения",9.9,250
317,allegro.pl,Онлайн аукционы,9.9,4 000.0
318,virgilio.it,Поисковые сервера,9.9,450
319,nhk.or.jp,Телевизионные сети,9.9,150
320,linekong.com,Онлайн игры,9.9,35
321,hudong.com,Интернет-сервисы,9.9,45
322,comcast.com,Кабельные и спутниковые провайдеры,9.9,170
323,pcauto.com.cn,Автомобильный портал,9.9,170
324,sponichi.co.jp,Спортивные новости,9.9,110
325,isohunt.com,Хранилище файлов и хостинг,9.9,340
326,springerlink.com,Образовательные ресурсы,9.9,81
327,traviangames.com,Онлайн игры,9.9,34
328,zimbio.com,Развлекательный ресурс,9.9,120
329,robtex.com,Средства разработки,9.9,41
330,wretch.cc,Новостной сайт,9.9,2 800.0
331,japanpost.jp,Почтовые службы,9.9,210
332,onlinedown.net,Программное обеспечение,9.9,38
333,godaddy.com,Web-хостинг (регистратор доменов),9.8,480
334,vimeo.com,Хранилище фото и видео файлов,9.8,98
335,qidian.com,Фэнтези,9.8,300
336,mapion.co.jp,Информационный ресурс,9.8,66
337,washingtonpost.com,Газеты,9.8,230
338,118114.cn,Рестораны,9.8,51
339,ieaddons.com,Информационный ресурс,9.8,50
340,rockyou.com,"Антивирусные программы, коды, пароли",9.8,120
341,wikimapia.org,Географические карты,9.8,230
342,jiayuan.com,Брачные услуги,9.8,300
343,sanspo.com,Газеты,9.8,160
344,whitepages.com,Информационный ресурс,9.8,190
345,yelp.com,Рестораны,9.8,170
346,real.com,Аудио и мультимедиа,9.8,61
347,bizrate.com,Статистика (сравнение цен),9.8,90
348,formspring.me,-,9.8,970
349,amazon.cn,Книжные магазины,9.8,110
350,hc360.com,Электронная коммерция,9.8,89
351,17173.com,"Читы, коды и подсказки",9.7,160
352,ineedfile.com,Хакинг и крекинг,9.1,61
353,360buy.com,Мобильные телефоны,9.1,160
354,8684.cn,Движение и общественный транспорт,9.1,55
355,pplive.com,Телевизионные сети,9.1,46
356,over-blog.com,Блоги,9.1,170
357,baixaki.com.br,Хранилище файлов и хостинг,9.1,410
358,beemp3.com,Музыка,9.1,130
359,cnzz.com,Web-статистика (анализаторы),9.1,210
360,usatoday.com,Газеты,9.1,160
361,yahooapis.com,Интернет магазины,9.1,51
362,tenpay.com,Платежные системы,9,110
363,asahi.com,Газеты,9,170
364,surveymonkey.com,Социологические опросы,9,160
365,21cn.com,Интернет-порталы,9,55
366,nba.com,-,9,280
